part_id,hh_id,part_age,part_gender,country
374,HH335,0,M,Zimbabwe
375,HH336,8,M,Zimbabwe
376,HH337,32,M,Zimbabwe
377,HH338,33,M,Zimbabwe
378,HH339,20,F,Zimbabwe
379,HH340,14,M,Zimbabwe
380,HH341,0,F,Zimbabwe
381,HH342,22,M,Zimbabwe
382,HH342,0,"",Zimbabwe
383,HH343,30,M,Zimbabwe
384,HH344,17,F,Zimbabwe
385,HH344,17,F,Zimbabwe
386,HH345,22,M,Zimbabwe
387,HH346,48,M,Zimbabwe
388,HH347,37,F,Zimbabwe
389,HH348,7,M,Zimbabwe
390,HH349,19,M,Zimbabwe
391,HH350,69,M,Zimbabwe
392,HH351,16,F,Zimbabwe
393,HH352,5,"",Zimbabwe
394,HH353,33,M,Zimbabwe
395,HH354,6,F,Zimbabwe
396,HH355,44,M,Zimbabwe
397,HH356,13,F,Zimbabwe
398,HH357,8,"",Zimbabwe
399,HH358,29,F,Zimbabwe
400,HH359,21,M,Zimbabwe
401,HH360,16,F,Zimbabwe
402,HH361,9,M,Zimbabwe
403,HH362,32,M,Zimbabwe
404,HH363,26,M,Zimbabwe
405,HH364,1,"",Zimbabwe
406,HH365,49,M,Zimbabwe
407,HH366,24,F,Zimbabwe
408,HH366,0,F,Zimbabwe
409,HH367,48,M,Zimbabwe
410,HH368,8,M,Zimbabwe
411,HH369,30,F,Zimbabwe
412,HH369,5,M,Zimbabwe
413,HH370,15,F,Zimbabwe
414,HH371,55,M,Zimbabwe
415,HH372,26,"",Zimbabwe
416,HH373,43,M,Zimbabwe
417,HH374,6,M,Zimbabwe
418,HH375,7,F,Zimbabwe
419,HH376,12,F,Zimbabwe
420,HH377,17,F,Zimbabwe
421,HH378,33,F,Zimbabwe
422,HH379,2,F,Zimbabwe
423,HH380,27,M,Zimbabwe
424,HH380,0,M,Zimbabwe
425,HH381,28,M,Zimbabwe
426,HH382,36,M,Zimbabwe
427,HH383,19,"",Zimbabwe
428,HH384,48,M,Zimbabwe
429,HH385,3,M,Zimbabwe
430,HH386,1,"",Zimbabwe
431,HH387,60,M,Zimbabwe
432,HH387,20,F,Zimbabwe
433,HH388,1,M,Zimbabwe
434,HH389,33,F,Zimbabwe
435,HH390,49,M,Zimbabwe
436,HH391,37,M,Zimbabwe
437,HH392,20,F,Zimbabwe
438,HH393,24,M,Zimbabwe
439,HH394,51,F,Zimbabwe
440,HH395,65,M,Zimbabwe
441,HH396,81,M,Zimbabwe
442,HH397,66,F,Zimbabwe
443,HH398,2,"",Zimbabwe
444,HH399,23,M,Zimbabwe
445,HH400,1,M,Zimbabwe
446,HH401,5,"",Zimbabwe
447,HH402,6,F,Zimbabwe
448,HH403,32,F,Zimbabwe
449,HH404,7,F,Zimbabwe
450,HH405,45,M,Zimbabwe
451,HH406,20,M,Zimbabwe
452,HH407,61,M,Zimbabwe
453,HH408,6,M,Zimbabwe
454,HH409,18,F,Zimbabwe
455,HH410,2,M,Zimbabwe
456,HH411,7,"",Zimbabwe
457,HH412,55,M,Zimbabwe
458,HH413,31,M,Zimbabwe
459,HH414,6,M,Zimbabwe
460,HH415,28,M,Zimbabwe
461,HH416,6,M,Zimbabwe
462,HH417,12,M,Zimbabwe
463,HH418,6,F,Zimbabwe
464,HH419,9,M,Zimbabwe
465,HH420,7,M,Zimbabwe
466,HH421,38,M,Zimbabwe
467,HH422,31,M,Zimbabwe
468,HH422,0,"",Zimbabwe
469,HH423,36,M,Zimbabwe
470,HH424,4,F,Zimbabwe
471,HH425,17,M,Zimbabwe
472,HH426,69,M,Zimbabwe
473,HH427,5,M,Zimbabwe
474,HH428,2,"",Zimbabwe
475,HH429,63,M,Zimbabwe
476,HH430,4,M,Zimbabwe
477,HH430,0,F,Zimbabwe
478,HH431,17,M,Zimbabwe
479,HH432,15,F,Zimbabwe
480,HH433,13,M,Zimbabwe
481,HH434,,"",Zimbabwe
482,HH435,14,M,Zimbabwe
483,HH436,2,M,Zimbabwe
484,HH437,45,F,Zimbabwe
485,HH438,1,F,Zimbabwe
486,HH439,71,F,Zimbabwe
487,HH440,11,M,Zimbabwe
488,HH441,49,M,Zimbabwe
489,HH442,22,F,Zimbabwe
490,HH443,4,M,Zimbabwe
491,HH444,12,F,Zimbabwe
492,HH445,13,F,Zimbabwe
493,HH446,1,M,Zimbabwe
494,HH447,1,F,Zimbabwe
495,HH448,5,"",Zimbabwe
496,HH449,2,M,Zimbabwe
497,HH450,0,M,Zimbabwe
498,HH451,29,F,Zimbabwe
499,HH452,32,F,Zimbabwe
500,HH453,3,"",Zimbabwe
501,HH454,38,M,Zimbabwe
502,HH455,1,M,Zimbabwe
503,HH456,4,M,Zimbabwe
504,HH457,53,M,Zimbabwe
505,HH458,20,F,Zimbabwe
506,HH459,47,M,Zimbabwe
507,HH460,54,M,Zimbabwe
508,HH461,20,M,Zimbabwe
509,HH462,50,M,Zimbabwe
510,HH463,3,M,Zimbabwe
511,HH464,0,F,Zimbabwe
512,HH465,15,F,Zimbabwe
513,HH466,4,M,Zimbabwe
514,HH466,0,M,Zimbabwe
515,HH467,8,M,Zimbabwe
516,HH468,5,M,Zimbabwe
517,HH469,33,F,Zimbabwe
518,HH469,19,F,Zimbabwe
519,HH470,8,M,Zimbabwe
520,HH471,29,M,Zimbabwe
521,HH472,1,M,Zimbabwe
522,HH473,0,M,Zimbabwe
523,HH474,42,M,Zimbabwe
524,HH475,30,M,Zimbabwe
525,HH476,49,M,Zimbabwe
526,HH477,33,M,Zimbabwe
527,HH478,16,M,Zimbabwe
528,HH478,0,M,Zimbabwe
529,HH479,32,"",Zimbabwe
530,HH480,40,M,Zimbabwe
531,HH481,3,"",Zimbabwe
532,HH481,0,"",Zimbabwe
533,HH482,26,F,Zimbabwe
534,HH483,38,M,Zimbabwe
535,HH484,23,M,Zimbabwe
536,HH485,22,"",Zimbabwe
537,HH486,21,M,Zimbabwe
538,HH487,42,F,Zimbabwe
539,HH488,4,M,Zimbabwe
540,HH488,0,M,Zimbabwe
541,HH489,2,F,Zimbabwe
542,HH490,4,M,Zimbabwe
543,HH491,11,F,Zimbabwe
544,HH492,63,M,Zimbabwe
545,HH493,8,F,Zimbabwe
546,HH494,60,F,Zimbabwe
547,HH495,20,F,Zimbabwe
548,HH496,43,M,Zimbabwe
549,HH497,6,M,Zimbabwe
550,HH498,15,M,Zimbabwe
551,HH499,24,F,Zimbabwe
552,HH500,38,M,Zimbabwe
553,HH501,15,F,Zimbabwe
554,HH502,9,F,Zimbabwe
555,HH503,58,M,Zimbabwe
556,HH504,9,M,Zimbabwe
557,HH505,2,F,Zimbabwe
558,HH506,24,M,Zimbabwe
559,HH506,0,M,Zimbabwe
560,HH507,30,M,Zimbabwe
561,HH508,27,F,Zimbabwe
562,HH509,30,F,Zimbabwe
563,HH510,33,F,Zimbabwe
564,HH511,6,F,Zimbabwe
565,HH512,10,M,Zimbabwe
566,HH513,2,F,Zimbabwe
567,HH514,18,M,Zimbabwe
568,HH515,4,F,Zimbabwe
569,HH516,32,F,Zimbabwe
570,HH517,14,F,Zimbabwe
571,HH518,21,M,Zimbabwe
572,HH518,0,M,Zimbabwe
573,HH519,10,M,Zimbabwe
574,HH520,57,M,Zimbabwe
575,HH521,11,M,Zimbabwe
576,HH522,39,M,Zimbabwe
577,HH523,19,F,Zimbabwe
578,HH524,3,F,Zimbabwe
579,HH525,8,F,Zimbabwe
580,HH526,3,F,Zimbabwe
581,HH527,16,F,Zimbabwe
582,HH528,16,F,Zimbabwe
583,HH529,21,M,Zimbabwe
584,HH529,0,F,Zimbabwe
585,HH530,3,F,Zimbabwe
586,HH531,16,F,Zimbabwe
587,HH532,10,M,Zimbabwe
588,HH533,18,F,Zimbabwe
589,HH534,28,"",Zimbabwe
590,HH535,7,M,Zimbabwe
591,HH536,9,F,Zimbabwe
592,HH537,5,M,Zimbabwe
593,HH538,8,M,Zimbabwe
594,HH539,8,M,Zimbabwe
595,HH540,24,F,Zimbabwe
596,HH541,46,M,Zimbabwe
597,HH542,61,M,Zimbabwe
598,HH543,40,M,Zimbabwe
599,HH544,13,F,Zimbabwe
600,HH545,56,F,Zimbabwe
601,HH546,12,F,Zimbabwe
602,HH547,46,M,Zimbabwe
603,HH548,33,F,Zimbabwe
604,HH549,16,M,Zimbabwe
605,HH550,16,M,Zimbabwe
606,HH551,44,M,Zimbabwe
607,HH552,14,F,Zimbabwe
608,HH553,20,F,Zimbabwe
609,HH554,10,F,Zimbabwe
610,HH555,7,F,Zimbabwe
611,HH556,31,M,Zimbabwe
612,HH557,74,F,Zimbabwe
613,HH558,4,F,Zimbabwe
614,HH559,26,M,Zimbabwe
615,HH560,63,M,Zimbabwe
616,HH561,6,M,Zimbabwe
617,HH562,20,F,Zimbabwe
618,HH563,1,F,Zimbabwe
619,HH564,11,F,Zimbabwe
620,HH565,19,"",Zimbabwe
621,HH566,9,M,Zimbabwe
622,HH567,28,F,Zimbabwe
623,HH568,6,F,Zimbabwe
624,HH569,10,F,Zimbabwe
625,HH570,4,M,Zimbabwe
626,HH571,31,M,Zimbabwe
627,HH572,3,"",Zimbabwe
628,HH573,8,M,Zimbabwe
629,HH573,0,F,Zimbabwe
630,HH574,60,M,Zimbabwe
631,HH575,35,M,Zimbabwe
632,HH576,0,M,Zimbabwe
633,HH577,43,F,Zimbabwe
634,HH578,13,F,Zimbabwe
635,HH579,66,M,Zimbabwe
636,HH580,7,F,Zimbabwe
637,HH581,9,"",Zimbabwe
638,HH582,15,F,Zimbabwe
639,HH583,18,F,Zimbabwe
640,HH584,42,M,Zimbabwe
641,HH585,14,F,Zimbabwe
642,HH586,18,F,Zimbabwe
643,HH587,37,M,Zimbabwe
644,HH588,37,M,Zimbabwe
645,HH589,57,M,Zimbabwe
646,HH590,22,F,Zimbabwe
647,HH591,14,M,Zimbabwe
648,HH592,10,M,Zimbabwe
649,HH593,16,F,Zimbabwe
650,HH594,15,M,Zimbabwe
651,HH595,8,M,Zimbabwe
652,HH596,9,F,Zimbabwe
653,HH597,56,M,Zimbabwe
654,HH598,61,M,Zimbabwe
655,HH599,36,M,Zimbabwe
656,HH600,38,M,Zimbabwe
657,HH601,19,F,Zimbabwe
658,HH602,19,M,Zimbabwe
659,HH603,45,F,Zimbabwe
660,HH604,3,F,Zimbabwe
661,HH605,10,M,Zimbabwe
662,HH606,4,F,Zimbabwe
663,HH607,13,M,Zimbabwe
664,HH608,2,F,Zimbabwe
665,HH609,1,M,Zimbabwe
666,HH610,1,"",Zimbabwe
667,HH611,5,M,Zimbabwe
668,HH612,11,M,Zimbabwe
669,HH613,23,M,Zimbabwe
670,HH613,0,F,Zimbabwe
671,HH614,3,M,Zimbabwe
672,HH615,10,M,Zimbabwe
673,HH616,23,F,Zimbabwe
674,HH617,10,F,Zimbabwe
675,HH618,4,F,Zimbabwe
676,HH619,18,F,Zimbabwe
677,HH620,58,M,Zimbabwe
678,HH621,46,M,Zimbabwe
679,HH622,2,M,Zimbabwe
680,HH623,20,F,Zimbabwe
681,HH624,12,F,Zimbabwe
682,HH625,7,M,Zimbabwe
683,HH626,33,M,Zimbabwe
684,HH627,39,M,Zimbabwe
685,HH628,10,M,Zimbabwe
686,HH629,64,"",Zimbabwe
687,HH630,54,M,Zimbabwe
688,HH631,18,M,Zimbabwe
689,HH631,0,F,Zimbabwe
690,HH632,1,"",Zimbabwe
691,HH633,57,M,Zimbabwe
692,HH634,6,M,Zimbabwe
693,HH635,61,F,Zimbabwe
694,HH636,54,F,Zimbabwe
695,HH637,15,F,Zimbabwe
696,HH638,1,M,Zimbabwe
697,HH639,37,M,Zimbabwe
698,HH640,0,F,Zimbabwe
699,HH641,29,F,Zimbabwe
700,HH642,8,F,Zimbabwe
701,HH643,50,M,Zimbabwe
702,HH643,18,F,Zimbabwe
703,HH644,1,F,Zimbabwe
704,HH645,36,F,Zimbabwe
705,HH646,17,M,Zimbabwe
706,HH647,29,M,Zimbabwe
707,HH647,0,"",Zimbabwe
708,HH648,46,M,Zimbabwe
709,HH648,0,M,Zimbabwe
710,HH649,31,F,Zimbabwe
711,HH650,50,M,Zimbabwe
712,HH651,2,M,Zimbabwe
713,HH652,2,M,Zimbabwe
714,HH653,9,M,Zimbabwe
715,HH654,50,F,Zimbabwe
716,HH655,1,F,Zimbabwe
717,HH656,7,M,Zimbabwe
718,HH657,10,F,Zimbabwe
719,HH658,10,M,Zimbabwe
720,HH659,0,F,Zimbabwe
721,HH660,0,"",Zimbabwe
722,HH661,0,"",Zimbabwe
723,HH662,18,M,Zimbabwe
724,HH662,0,"",Zimbabwe
725,HH663,13,M,Zimbabwe
726,HH664,71,"",Zimbabwe
727,HH665,14,F,Zimbabwe
728,HH666,17,F,Zimbabwe
729,HH667,68,F,Zimbabwe
730,HH668,5,M,Zimbabwe
731,HH669,15,M,Zimbabwe
732,HH670,18,M,Zimbabwe
733,HH671,60,M,Zimbabwe
734,HH672,1,M,Zimbabwe
735,HH673,63,M,Zimbabwe
736,HH674,39,M,Zimbabwe
737,HH675,18,F,Zimbabwe
738,HH676,41,F,Zimbabwe
739,HH677,31,M,Zimbabwe
740,HH678,1,M,Zimbabwe
741,HH679,46,M,Zimbabwe
742,HH680,44,M,Zimbabwe
743,HH681,12,M,Zimbabwe
744,HH682,9,M,Zimbabwe
745,HH683,16,F,Zimbabwe
746,HH684,12,F,Zimbabwe
747,HH685,15,F,Zimbabwe
748,HH686,63,M,Zimbabwe
749,HH687,17,F,Zimbabwe
750,HH688,57,M,Zimbabwe
751,HH689,13,M,Zimbabwe
752,HH690,57,M,Zimbabwe
753,HH691,13,"",Zimbabwe
754,HH691,11,M,Zimbabwe
755,HH692,37,M,Zimbabwe
756,HH693,6,M,Zimbabwe
757,HH694,4,M,Zimbabwe
758,HH695,17,F,Zimbabwe
759,HH696,76,M,Zimbabwe
760,HH697,10,M,Zimbabwe
761,HH698,55,M,Zimbabwe
762,HH699,76,M,Zimbabwe
763,HH700,30,M,Zimbabwe
764,HH701,45,M,Zimbabwe
765,HH702,35,F,Zimbabwe
766,HH703,11,M,Zimbabwe
767,HH704,1,F,Zimbabwe
768,HH705,9,F,Zimbabwe
769,HH706,3,M,Zimbabwe
770,HH707,9,M,Zimbabwe
771,HH708,3,M,Zimbabwe
772,HH709,38,F,Zimbabwe
773,HH710,11,M,Zimbabwe
774,HH711,29,F,Zimbabwe
